group,event_label,event_code,epoch_index,event_sample,event_time_s,channel,is_bad,band,power,db
Major,34031,7,1,581344,283.859,OZ,no,gamma,3.398769e-13,-124.684
Major,34021,4,2,665024,324.719,CZ,no,theta,1.332063e-12,-118.754
Major,34021,4,2,665024,324.719,CZ,no,alpha,3.047317e-12,-115.161
Major,34021,4,2,665024,324.719,CZ,no,beta,2.180244e-13,-126.611
Major,34021,4,2,665024,324.719,CZ,no,gamma,6.162255e-14,-132.087
Major,34021,4,2,665024,324.719,PZ,no,theta,1.420770e-12,-118.474
Major,34021,4,2,665024,324.719,PZ,no,alpha,2.516371e-11,-105.992
Major,34021,4,2,665024,324.719,PZ,no,beta,4.466581e-13,-123.498
Major,34021,4,2,665024,324.719,PZ,no,gamma,6.692110e-14,-131.730
Major,34021,4,2,665024,324.719,CP4,no,theta,8.369067e-13,-120.772
Major,34021,4,2,665024,324.719,CP4,no,alpha,7.081513e-12,-111.499
Major,34021,4,2,665024,324.719,CP4,no,beta,2.544889e-13,-125.940
Major,34021,4,2,665024,324.719,CP4,no,gamma,9.249927e-14,-130.328
Major,34021,4,2,665024,324.719,FZ,no,theta,3.679280e-12,-114.342
Major,34021,4,2,665024,324.719,FZ,no,alpha,5.581914e-12,-112.532
Major,34021,4,2,665024,324.719,FZ,no,beta,4.494266e-13,-123.471
Major,34021,4,2,665024,324.719,FZ,no,gamma,8.008809e-14,-130.952
Major,34021,4,2,665024,324.719,FP2,no,theta,2.317929e-12,-116.349
Major,34021,4,2,665024,324.719,FP2,no,alpha,7.165995e-12,-111.447
Major,34021,4,2,665024,324.719,FP2,no,beta,4.207018e-13,-123.758
Major,34021,4,2,665024,324.719,FP2,no,gamma,9.099371e-14,-130.399
Major,34021,4,2,665024,324.719,F4,no,theta,2.448598e-12,-116.110
Major,34021,4,2,665024,324.719,F4,no,alpha,3.656084e-12,-114.370
Major,34021,4,2,665024,324.719,F4,no,beta,4.053584e-13,-123.919
Major,34021,4,2,665024,324.719,F4,no,gamma,1.199774e-13,-129.201
Major,34021,4,2,665024,324.719,C4,no,theta,1.044064e-12,-119.812
Major,34021,4,2,665024,324.719,C4,no,alpha,2.096563e-12,-116.784
Major,34021,4,2,665024,324.719,C4,no,beta,2.659902e-13,-125.748
Major,34021,4,2,665024,324.719,C4,no,gamma,1.775161e-13,-127.502
Major,34021,4,2,665024,324.719,P4,no,theta,1.204665e-12,-119.191
Major,34021,4,2,665024,324.719,P4,no,alpha,1.725640e-11,-107.630
Major,34021,4,2,665024,324.719,P4,no,beta,3.863816e-13,-124.127
Major,34021,4,2,665024,324.719,P4,no,gamma,6.233278e-14,-132.037
Major,34021,4,2,665024,324.719,TP8,no,theta,1.266834e-12,-118.972
Major,34021,4,2,665024,324.719,TP8,no,alpha,2.333348e-12,-116.320
Major,34021,4,2,665024,324.719,TP8,no,beta,3.906491e-13,-124.080
Major,34021,4,2,665024,324.719,TP8,no,gamma,2.097910e-13,-126.778
Major,34021,4,2,665024,324.719,P8,no,theta,1.648448e-12,-117.829
Major,34021,4,2,665024,324.719,P8,no,alpha,6.088784e-12,-112.155
Major,34021,4,2,665024,324.719,P8,no,beta,3.978432e-13,-124.000
Major,34021,4,2,665024,324.719,P8,no,gamma,1.603343e-13,-127.944
Major,34021,4,2,665024,324.719,T8,no,theta,1.278765e-12,-118.931
Major,34021,4,2,665024,324.719,T8,no,alpha,1.734277e-12,-117.608
Major,34021,4,2,665024,324.719,T8,no,beta,3.017358e-13,-125.201
Major,34021,4,2,665024,324.719,T8,no,gamma,1.966944e-13,-127.057
Major,34021,4,2,665024,324.719,F8,no,theta,2.169151e-12,-116.637
Major,34021,4,2,665024,324.719,F8,no,alpha,4.038903e-12,-113.937
Major,34021,4,2,665024,324.719,F8,no,beta,3.646634e-13,-124.378
Major,34021,4,2,665024,324.719,F8,no,gamma,2.342485e-13,-126.299
Major,34021,4,2,665024,324.719,FP1,no,theta,2.278133e-12,-116.424
Major,34021,4,2,665024,324.719,FP1,no,alpha,7.690133e-12,-111.141
Major,34021,4,2,665024,324.719,FP1,no,beta,3.863313e-13,-124.128
Major,34021,4,2,665024,324.719,FP1,no,gamma,1.089249e-13,-129.620
Major,34021,4,2,665024,324.719,C3,no,theta,5.858606e-13,-122.320
Major,34021,4,2,665024,324.719,C3,no,alpha,2.104939e-12,-116.767
Major,34021,4,2,665024,324.719,C3,no,beta,2.422512e-13,-126.153
Major,34021,4,2,665024,324.719,C3,no,gamma,1.492781e-13,-128.254
Major,34021,4,2,665024,324.719,T7,no,theta,1.291326e-12,-118.889
Major,34021,4,2,665024,324.719,T7,no,alpha,1.959017e-12,-117.079
Major,34021,4,2,665024,324.719,T7,no,beta,5.837340e-13,-122.336
Major,34021,4,2,665024,324.719,T7,no,gamma,3.834637e-13,-124.160
Major,34021,4,2,665024,324.719,P3,no,theta,1.544677e-12,-118.111
Major,34021,4,2,665024,324.719,P3,no,alpha,1.785390e-11,-107.483
Major,34021,4,2,665024,324.719,P3,no,beta,6.044201e-13,-122.185
Major,34021,4,2,665024,324.719,P3,no,gamma,1.806997e-13,-127.425
Major,34021,4,2,665024,324.719,P7,no,theta,3.023857e-12,-115.194
Major,34021,4,2,665024,324.719,P7,no,alpha,4.445850e-12,-113.520
Major,34021,4,2,665024,324.719,P7,no,beta,3.353714e-13,-124.742
Major,34021,4,2,665024,324.719,P7,no,gamma,1.160148e-13,-129.347
Major,34021,4,2,665024,324.719,CP3,no,theta,7.536357e-13,-121.227
Major,34021,4,2,665024,324.719,CP3,no,alpha,6.649013e-12,-111.772
Major,34021,4,2,665024,324.719,CP3,no,beta,3.003896e-13,-125.220
Major,34021,4,2,665024,324.719,CP3,no,gamma,9.060504e-14,-130.418
Major,34021,4,2,665024,324.719,TP7,no,theta,2.088745e-12,-116.801
Major,34021,4,2,665024,324.719,TP7,no,alpha,1.998400e-12,-116.993
Major,34021,4,2,665024,324.719,TP7,no,beta,2.351642e-13,-126.282
Major,34021,4,2,665024,324.719,TP7,no,gamma,1.158092e-13,-129.354
Major,34021,4,2,665024,324.719,F3,no,theta,2.018807e-12,-116.949
Major,34021,4,2,665024,324.719,F3,no,alpha,4.448912e-12,-113.517
Major,34021,4,2,665024,324.719,F3,no,beta,4.621681e-13,-123.350
Major,34021,4,2,665024,324.719,F3,no,gamma,1.921240e-13,-127.159
Major,34021,4,2,665024,324.719,F7,no,theta,1.510758e-12,-118.207
Major,34021,4,2,665024,324.719,F7,no,alpha,5.076542e-12,-112.944
Major,34021,4,2,665024,324.719,F7,no,beta,4.101905e-13,-123.868
Major,34021,4,2,665024,324.719,F7,no,gamma,1.683539e-13,-127.732
Major,34021,4,2,665024,324.719,O2,no,theta,2.564579e-12,-115.909
Major,34021,4,2,665024,324.719,O2,no,alpha,5.148610e-12,-112.883
Major,34021,4,2,665024,324.719,O2,no,beta,4.641532e-13,-123.331
Major,34021,4,2,665024,324.719,O2,no,gamma,2.638991e-13,-125.782
Major,34021,4,2,665024,324.719,O1,no,theta,3.440964e-12,-114.633
Major,34021,4,2,665024,324.719,O1,no,alpha,5.528041e-12,-112.574
Major,34021,4,2,665024,324.719,O1,no,beta,1.649946e-12,-117.825
Major,34021,4,2,665024,324.719,O1,no,gamma,1.590952e-12,-117.983
Major,34021,4,2,665024,324.719,FC4,no,theta,2.213857e-12,-116.548
Major,34021,4,2,665024,324.719,FC4,no,alpha,1.659829e-12,-117.799
Major,34021,4,2,665024,324.719,FC4,no,beta,4.831414e-13,-123.157
Major,34021,4,2,665024,324.719,FC4,no,gamma,3.867085e-13,-124.124
Major,34021,4,2,665024,324.719,FT8,no,theta,1.639449e-12,-117.852
Major,34021,4,2,665024,324.719,FT8,no,alpha,2.331254e-12,-116.324
Major,34021,4,2,665024,324.719,FT8,no,beta,3.481515e-13,-124.580
Major,34021,4,2,665024,324.719,FT8,no,gamma,2.712673e-13,-125.662
